State,Electric (EV)_x,Total EVs (2),Level 1 Ports (1),Level 2 Ports (1),DCFC Ports (1),Total Ports (1),Ratio: EVs to Charger Ports,STATE,Total_Population,Avg_AGI,Electric (EV)_y,Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
Alabama,13000,6081,0.0,386,94,480,12.67,Alabama,47258650.0,4.5,13000,5800,63300,54200,441200,100,100,0,0,4102200,127000,29000,2023,29230.0,43058.0,72289.0
Alaska,2700,1113,0.0,73,8,81,13.74,Alaska,7788980.0,4.5,2700,900,10600,9600,46800,0,0,0,0,454300,29800,5100,2023,2467.0,3150.0,5617.0
Arizona,89800,43171,1.0,1542,409,1952,22.12,Arizona,72485590.0,4.5,89800,25600,175700,68600,437100,600,700,0,0,5469000,197700,64200,2023,18119.0,57178.0,75297.0
Arkansas,7100,3127,0.0,346,66,412,7.59,Arkansas,28459530.0,4.5,7100,3200,37000,37000,276700,200,0,0,0,2246100,90700,10300,2023,18855.0,20246.0,39101.0
California,1256600,930811,280.0,27762,6143,34185,27.23,California,412840200.0,4.5,1256600,410700,1703200,201600,1314600,10100,1500,16900,0,31191900,735300,7900,2023,59682.0,256930.0,316612.0
Colorado,90100,47633,61.0,2788,506,3355,14.2,Colorado,63277240.0,4.5,90100,37500,152700,68100,334300,300,100,0,0,4508800,203400,46500,2023,17161.0,37494.0,54654.0
Connecticut,31600,23353,21.0,909,286,1216,19.2,Connecticut,39813850.0,4.5,31600,18400,75300,10900,133600,100,0,0,0,2612600,42300,20900,2023,3113.0,27389.0,30503.0
Delaware,8400,4733,2.0,180,89,271,17.46,Delaware,10795210.0,4.5,8400,3800,22900,5100,63900,0,0,0,0,791300,14200,5100,2023,2525.0,7192.0,9718.0
District of Columbia,8100,6133,18.0,614,39,671,9.14,District of Columbia,7719440.0,4.5,8100,3700,18100,400,16800,100,0,0,0,262500,1800,600,2023,,3481.0,3481.0
Florida,254900,108749,35.0,4557,1052,5644,19.27,Florida,236504760.0,4.5,254900,57300,414500,170500,1101100,400,100,0,0,16136500,351800,96100,2023,41896.0,197293.0,239188.0
Georgia,92400,53416,200.0,2994,560,3754,14.23,Georgia,106142760.0,4.5,92400,22700,175300,92500,719400,300,200,0,0,8256400,206300,76900,2023,31939.0,94401.0,126339.0
Hawaii,25600,19243,5.0,662,84,751,25.62,Hawaii,15469720.0,4.5,25600,7300,36400,3400,37300,0,0,0,0,951000,15400,3700,2023,1839.0,8597.0,10435.0
Idaho,8500,3769,0.0,180,80,260,14.5,Idaho,18326350.0,4.5,8500,4600,43700,45900,132900,100,100,0,0,1568600,138600,31600,2023,11457.0,8261.0,19718.0
Illinois,99600,49746,13.0,1786,452,2251,22.1,Illinois,136032200.0,4.5,99600,33400,285400,61500,772900,300,0,0,0,8560300,170200,59600,2023,24831.0,78040.0,102871.0
Indiana,26100,13995,0.0,589,241,830,16.86,Indiana,71242560.0,4.5,26100,12900,119100,56300,576300,300,0,0,0,5166200,156400,58500,2023,32806.0,52403.0,85209.0
Iowa,9000,5828,23.0,343,157,523,11.14,Iowa,32942510.0,4.5,9000,6100,57200,41700,331300,100,0,0,0,2545400,105000,57500,2023,20106.0,13148.0,33254.0
Kansas,11300,5848,2.0,825,110,937,6.24,Kansas,30107610.0,4.5,11300,5600,50400,27900,253500,200,100,0,0,2168600,87400,16100,2023,15274.0,16553.0,31828.0
Kentucky,11600,5458,8.0,308,83,399,13.68,Kentucky,43738660.0,4.5,11600,5600,67100,36900,361200,300,0,0,0,3415000,117600,24400,2023,26621.0,22372.0,48993.0
Louisiana,8200,4372,4.0,254,81,339,12.9,Louisiana,44537460.0,4.5,8200,4000,40200,64200,380100,100,0,0,0,3142800,115500,19100,2023,20990.0,34570.0,55560.0
Maine,7400,6486,6.0,404,127,537,12.08,Maine,15209060.0,4.5,7400,7600,33600,12000,104500,0,0,0,0,1036100,26900,7900,2023,10387.0,4501.0,14888.0
Maryland,72100,41893,21.0,2290,504,2815,14.88,Maryland,67408230.0,4.5,72100,31300,168700,32100,309300,300,0,0,0,4327800,86900,31500,2023,10513.0,46842.0,57356.0
Massachusetts,73800,51834,13.0,3726,371,4110,12.61,Massachusetts,77959970.0,4.5,73800,43800,187300,21300,285000,200,0,0,0,4791300,58400,30000,2023,3122.0,57626.0,60748.0
Michigan,50300,31753,27.0,1227,388,1642,19.34,Michigan,107505650.0,4.5,50300,29100,148100,70400,873700,300,0,0,0,7129600,174500,49400,2023,31403.0,66886.0,98289.0
Minnesota,37100,20393,71.0,950,205,1226,16.63,Minnesota,62612400.0,4.5,37100,16100,124500,52700,516400,100,0,0,0,4219200,127900,24500,2023,23572.0,34474.0,58046.0
Mississippi,3600,1689,0.0,211,70,281,6.01,Mississippi,28051300.0,4.5,3600,2000,28200,34900,295200,100,0,0,0,2275600,75200,8500,2023,24281.0,16663.0,40944.0
Missouri,26900,14684,5.0,1825,215,2045,7.18,Missouri,63677360.0,4.5,26900,13900,113900,70400,575500,900,100,0,0,4608600,178200,37600,2023,36368.0,44457.0,80825.0
Montana,4600,2278,2.0,99,102,203,11.22,Montana,11752250.0,4.5,4600,2500,21100,37900,94500,0,0,0,0,780700,69600,10800,2023,9689.0,4011.0,13700.0
Nebraska,6900,4075,7.0,264,74,345,11.81,Nebraska,20497970.0,4.5,6900,3800,32600,28900,197100,100,0,0,0,1600400,76100,25300,2023,11628.0,9646.0,21275.0
Nevada,47400,18441,4.0,906,299,1209,15.25,Nevada,33756380.0,4.5,47400,10600,69600,27200,125600,200,100,0,0,2169300,85800,20300,2023,5859.0,21918.0,27777.0
New Hampshire,9900,7171,5.0,211,89,305,23.51,New Hampshire,16005250.0,4.5,9900,6600,36800,13900,89600,100,0,0,0,1185300,29200,12300,2023,5420.0,8095.0,13515.0
New Jersey,134800,66555,14.0,1095,501,1610,41.34,New Jersey,100493600.0,4.5,134800,40900,174200,27800,392100,300,0,0,0,6433000,84600,36400,2023,4841.0,73165.0,78007.0
New Mexico,10300,4842,4.0,268,125,397,12.2,New Mexico,21264720.0,4.5,10300,4900,44300,32100,151600,100,100,0,0,1597600,88500,22900,2023,17108.0,11061.0,28169.0
New York,131300,106024,15.0,5774,758,6547,16.19,New York,217133820.0,4.5,131300,92300,314000,54300,591100,400,100,0,0,9905500,150500,79100,2023,25133.0,94934.0,120067.0
North Carolina,70200,32782,15.0,1838,434,2287,14.33,North Carolina,106736160.0,4.5,70200,23700,210600,80200,655000,300,100,0,0,7764000,209700,71700,2023,52938.0,69319.0,122258.0
North Dakota,1000,656,0.0,73,61,134,4.9,North Dakota,8128390.0,4.5,1000,800,8200,20400,89900,0,0,0,0,625300,44600,7200,2023,6850.0,3046.0,9896.0
Ohio,50400,31654,7.0,1467,333,1807,17.52,Ohio,126606420.0,4.5,50400,24000,199800,70300,833500,700,100,0,0,8881400,196200,60900,2023,34693.0,78531.0,113224.0
Oklahoma,22800,10712,6.0,315,654,975,10.99,Oklahoma,37614540.0,4.5,22800,33000,56400,63100,352400,1800,200,0,0,3567500,145700,45000,2023,22763.0,22997.0,45760.0
Oregon,64400,44170,44.0,1680,418,2142,20.62,Oregon,44715310.0,4.5,64400,28800,156900,55500,184600,100,100,0,0,3074300,217000,51000,2023,14640.0,22176.0,36816.0
Pennsylvania,70200,42611,14.0,1968,456,2438,17.48,Pennsylvania,140438420.0,4.5,70200,38900,245400,73900,661700,500,100,0,0,8886400,192100,41800,2023,32251.0,67875.0,100126.0
Rhode Island,6400,4695,20.0,466,35,521,9.01,Rhode Island,12272760.0,4.5,6400,5100,22100,3100,41900,0,0,0,0,782000,11000,6000,2023,898.0,6666.0,7564.0
South Carolina,20900,8982,3.0,599,167,769,11.68,South Carolina,52766100.0,4.5,20900,9000,83100,44600,404600,100,100,0,0,4325000,110100,44900,2023,22771.0,38022.0,60794.0
South Dakota,1700,1015,0.0,84,63,147,6.9,South Dakota,9572730.0,4.5,1700,1300,11900,21500,98800,0,0,0,0,718300,51200,13300,2023,7230.0,3114.0,10345.0
Tennessee,33200,14891,10.0,1152,219,1381,10.78,Tennessee,70298590.0,4.5,33200,11000,113300,53100,509000,200,100,0,0,5620500,160700,37700,2023,27692.0,55713.0,83405.0
Texas,230100,78585,32.0,4124,790,4946,15.89,Texas,292772760.0,4.499532148108542,230100,55300,445100,460700,2315400,1300,1300,0,0,21392800,772800,121800,2023,79555.0,220783.0,300338.0
Utah,40000,16521,2.0,1561,195,1758,9.4,Utah,31741340.0,4.5,40000,13000,83200,68500,185200,2200,500,0,0,2499600,158000,26000,2023,9927.0,24657.0,34584.0
Vermont,7800,7061,71.0,685,75,831,8.5,Vermont,7376330.0,4.5,7800,5700,20300,7000,36600,0,0,0,0,496000,14700,5000,2023,5104.0,2068.0,7172.0
Virginia,84900,39724,51.0,1786,670,2507,15.85,Virginia,90310790.0,4.5,84900,26800,229400,44300,484800,300,0,0,0,6670000,152800,30200,2023,26814.0,60916.0,87730.0
Washington,152100,80397,80.0,2985,700,3765,21.35,Washington,82399840.0,4.5,152100,41200,307200,73800,337700,100,100,0,0,5583000,274200,46700,2023,16723.0,43081.0,59804.0
West Virginia,2800,1795,1.0,196,69,266,6.75,West Virginia,17305130.0,4.5,2800,1800,22400,17300,123400,100,0,0,0,1281500,46400,15200,2023,8145.0,7817.0,15962.0
Wisconsin,24900,15415,78.0,653,150,881,17.5,Wisconsin,64475760.0,4.5,24900,12500,123600,52900,536200,300,0,0,0,4604700,147500,26400,2023,34334.0,32915.0,67248.0
Wyoming,1100,707,4.0,90,75,169,4.18,Wyoming,6170640.0,4.5,1100,800,8400,21200,57700,0,0,0,0,489100,60900,13700,2023,6996.0,2523.0,9519.0
